lambda,Chlorophyll_a,Divinylchlorophyll_a,Chlorophyll_b,Divinylchlorophyll_b,Chlorophyll_c12,Fucoxanthin,19_BF,19_HF,Peri,Diad,Zeaxanthin,Alloxanthin,beta_Carotene,alpha_Carotene
584,0.0032584,0.0017632,0.00257,0.00274,0.00604,0.002,0.00063,0.00078,0.00332,0.00016,0.00014,0.00013,0.00021,0.00014
586,0.0034368,0.0018659,0.00272,0.00291,0.00607,0.00174,0.00054,0.00075,0.00285,0.00012,0.00014,0.00013,0.00021,0.00014
588,0.0035781,0.0019461,0.00288,0.00311,0.00603,0.00156,0.00042,0.00062,0.00251,0.00012,0.00014,8.00E-05,0.00027,0.00014
590,0.003728,0.0020421,0.00309,0.00334,0.00589,0.00142,0.00021,0.00056,0.00228,0.00012,9.00E-05,8.00E-05,0.00021,9.00E-05
592,0.0038236,0.0021183,0.00339,0.00356,0.00564,0.00127,0.00039,0.00053,0.00201,0.00012,9.00E-05,8.00E-05,0.00021,9.00E-05
594,0.0039606,0.0022074,0.00354,0.00376,0.00531,0.00113,0.00051,0.0005,0.00181,0.00012,9.00E-05,8.00E-05,0.00021,9.00E-05
596,0.0040348,0.0022968,0.00368,0.00396,0.00492,0.00102,0.00048,0.00059,0.00157,8.00E-05,9.00E-05,8.00E-05,0.00021,9.00E-05
598,0.0041476,0.0023783,0.00378,0.00416,0.00452,0.00087,0.00033,0.0004,0.00141,8.00E-05,9.00E-05,8.00E-05,0.00021,9.00E-05
600,0.0042703,0.0024803,0.00381,0.00428,0.00411,0.00076,0.00045,0.00034,0.00127,8.00E-05,9.00E-05,8.00E-05,0.00021,9.00E-05
602,0.0043802,0.0026123,0.00381,0.00436,0.00376,0.00065,0,0.00034,0.00114,8.00E-05,9.00E-05,8.00E-05,0.00027,9.00E-05
604,0.0045401,0.002742,0.00376,0.00439,0.00344,0.00058,9.00E-05,0.00034,0.00104,8.00E-05,9.00E-05,4.00E-05,0.00021,9.00E-05
606,0.0047513,0.0029113,0.00368,0.00436,0.00319,0.00051,0.00036,0.00025,0.0009,8.00E-05,9.00E-05,4.00E-05,0.00027,9.00E-05
608,0.005031,0.0031462,0.00357,0.00431,0.00298,0.00044,0.00015,0.00022,0.00084,8.00E-05,9.00E-05,8.00E-05,0.00032,5.00E-05
610,0.0053565,0.0033546,0.00344,0.00416,0.00288,0.0004,0.00021,0.00022,0.00077,8.00E-05,0,0,0,0
612,0.0057347,0.0036379,0.00328,0.00402,0.00292,0.00033,9.00E-05,0.00019,0.0007,4.00E-05,0,0,0,0
614,0.0061757,0.0038903,0.00317,0.00385,0.00305,0.00029,0,0.00016,0.0006,8.00E-05,0,0,0,0
616,0.0065825,0.0041706,0.00307,0.00368,0.00328,0.00025,-3.00E-05,0.00016,0.00057,0,0,0,0,0
618,0.0070006,0.0044079,0.00299,0.00351,0.00366,0.00022,-0.00012,0.00016,0.0005,0,0,0,0,0
620,0.0073189,0.0046104,0.00294,0.00339,0.00415,0.00022,-6.00E-05,9.00E-05,0.00044,0,0,0,0,0
622,0.0076244,0.0048045,0.00296,0.00328,0.00478,0.00018,-6.00E-05,9.00E-05,0.0004,0,0,0,0,0
624,0.0078313,0.0049122,0.00302,0.00322,0.00551,0.00018,-9.00E-05,9.00E-05,0.0004,0,0,0,0,0
626,0.0079655,0.0049806,0.00325,0.00325,0.0063,0.00015,3.00E-05,0.00012,0.00034,0,0,0,0,0
628,0.008004,0.0050141,0.00365,0.00339,0.00705,0.00015,-3.00E-05,6.00E-05,0,0,0,0,0,0
